FITNESSZONE CADUCIDADES 25/26,,,,,,,,,,,,,,
,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,,-46.143,#N/A,,#N/A
LA FILA DE ARRIBA ES LA QUE TIENE LAS FORMULAS CORRECTAS PARA USAR EL LECTOR- COPIA DE AHI PARA INTRODUCIR NUEVAS FILAS,,,,,,,,,,,,,,
UBI,CODIGO,SKU,PRODUCTO,MARCA,TIPO,COSTE,UDS,COSTE TOTAL,FECHA,FECHA MES,DIAS,ESTADO,OBSERVACIONES,TAGS
AL,8436568403335,2004,Ajo en polvo Bio 50 Gr,BioArtesa,Comida Fitness,"2,18",1,"2,18",30/06/2026,jun-2026,60,VENDIDO,,"10IVA, Alimentos orgánicos, Antioxidantes, Colesterol, Comida Saludable, Fit Food, Keto, Otros alimentos BIO, Sin gluten, Sin lactosa"
LR,8594046791173,929-7,Iso HD 90 CFM Protein 800 Gr Nuttamix,Amix Nutrition,Proteína,"28,54",2,"57,08",30/06/2026,jun-2026,60,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, 91-100gr, Aislada, AMIX, AMIXPRO, Añadido extra de aminoácidos, Enzimas digestivas, Ganar músculo, Glutamina, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8594046791180,929-5,Iso HD 90 CFM Protein 800 Gr Chocolate Blanco - Galleta,Amix Nutrition,Proteína,"28,54",1,"28,54",30/06/2026,jun-2026,60,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, 91-100gr, Aislada, AMIX, AMIXPRO, Añadido extra de aminoácidos, Enzimas digestivas, Ganar músculo, Glutamina, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,8594046791180,929-5,Iso HD 90 CFM Protein 800 Gr Chocolate Blanco - Galleta,Amix Nutrition,Proteína,"28,54",1,"28,54",30/06/2026,jun-2026,60,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, 91-100gr, Aislada, AMIX, AMIXPRO, Añadido extra de aminoácidos, Enzimas digestivas, Ganar músculo, Glutamina, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8594046791166,929-6,Iso HD 90 CFM Protein 800 Gr Limón - Yogurt,Amix Nutrition,Proteína,"28,54",1,"28,54",30/06/2026,jun-2026,60,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, 91-100gr, Aislada, AMIX, AMIXPRO, Añadido extra de aminoácidos, Enzimas digestivas, Ganar músculo, Glutamina, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,8594046791166,929-6,Iso HD 90 CFM Protein 800 Gr Limón - Yogurt,Amix Nutrition,Proteína,"28,54",1,"28,54",30/06/2026,jun-2026,60,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, 91-100gr, Aislada, AMIX, AMIXPRO, Añadido extra de aminoácidos, Enzimas digestivas, Ganar músculo, Glutamina, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
LR,8594046791166,929-6,Iso HD 90 CFM Protein 800 Gr Limón - Yogurt,Amix Nutrition,Proteína,"28,54",1,"28,54",30/06/2026,jun-2026,60,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, 91-100gr, Aislada, AMIX, AMIXPRO, Añadido extra de aminoácidos, Enzimas digestivas, Ganar músculo, Glutamina, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
AL,8425252202330,1853-6,Only Whey 1 kg Conguitos,BIG,Proteína,"30,69",2,"61,38",30/06/2026,jun-2026,60,VENDIDO,,"0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, AMAZON.AUMENTO.5.99, BULEVIP.AUMENTO.7.99, Concentrada, DECATHLON.AUMENTO.7.99, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436594158858,2707-2,Hydrolized Iso Protein 1 Kg Galleta,Vitobest,Proteína,"27,22",2,"54,45",30/06/2026,jun-2026,60,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Ganar músculo, Hidrolizada, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,8436594158858,2707-2,Hydrolized Iso Protein 1 Kg Galleta,Vitobest,Proteína,"27,22",2,"54,45",30/06/2026,jun-2026,60,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Ganar músculo, Hidrolizada, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
LR,8436594158858,2707-2,Hydrolized Iso Protein 1 Kg Galleta,Vitobest,Proteína,"27,22",1,"27,22",30/06/2026,jun-2026,60,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Ganar músculo, Hidrolizada, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
LR,8436594158858,2707-2,Hydrolized Iso Protein 1 Kg Galleta,Vitobest,Proteína,"27,22",2,"54,45",30/06/2026,jun-2026,60,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Ganar músculo, Hidrolizada, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436594158858,2707-2,Hydrolized Iso Protein 1 Kg Galleta,Vitobest,Proteína,"27,22",1,"27,22",30/06/2026,jun-2026,60,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Ganar músculo, Hidrolizada, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8594060004341,1346-3,Exclusive Protein Bar 85 Gr 1 Ud Chocolate con leche - Plátano,Amix Nutrition,Barritas & Snacks,"1,34",12,"16,08",30/06/2026,jun-2026,60,VENDIDO,,"+vendidos, 10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Más Energía"
CL,8436594158858,2707-2,Hydrolized Iso Protein 1 Kg Galleta,Vitobest,Proteína,"27,22",1,"27,22",30/06/2026,jun-2026,60,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Ganar músculo, Hidrolizada, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
AL,659675537741,1849-9,Micellar Casein 1 Kg Conguitos White,BIG,Proteína,"29,59",1,"29,59",30/06/2026,jun-2026,60,VENDIDO,,#N/A
AL,8436621080497,1849-9,Micellar Casein 1 Kg Conguitos,BIG,Proteína,"29,59",1,"29,59",30/06/2026,jun-2026,60,VENDIDO,,#N/A
AL,8425252201524,1849-17,Micellar Casein 1 Kg Honey Salted Peanuts,BIG,Proteína,"29,59",4,"118,36",30/06/2026,jun-2026,60,VENDIDO,,"0 kg - 1 kg, 0-3gr, 10IVA, 5-9gr, 70-74gr, BULEVIP.AUMENTO.4.99, DECATHLON.AUMENTO.6.99, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Secuencial, Secuencial/caseína, Sin carbohidratos"
AL,8425252160005,1850-12,CFM ISO Zero 1 Kg Cookies & Cream,BIG,Proteína,"37,29",1,"37,29",30/06/2026,jun-2026,60,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, BULEVIP.AUMENTO.3.99, DECATHLON.AUMENTO.4.99, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, TRADEINN.AUMENTO.9.99"
AL,8422584068450,2680,Tortitas de Arroz con cúrcuma y pimienta sin gluten Bio 115 Gr,El Granero,Comida Fitness,"1,34",12,"16,10",30/06/2026,jun-2026,60,VENDIDO,,"10IVA, 65-80gr, Alimentos orgánicos, Arroz, Barritas y Snacks, Carbohidratos, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Masticable, Sin gluten, Sin lactosa"
AL,8436567350265,2591-1,Energy Gel Bio 25 Gr No Caffeine,226ERS,Preentreno / Precursores,"1,45",40,"58,00",30/06/2026,jun-2026,60,EN RIESGO,Revisamos mes que viene,"10IVA, Con carbohidratos, Endurance, Energizantes, Gel, Más Energía, Potasio, Recuperación, Sin cafeína, Sin estimulantes, Sodio"
AL,8436609600358,471-7,Zero Protein Isolate 910 Gr Chocolate,Bigman,Proteína,"31,79",1,"31,79",30/06/2026,jun-2026,60,VENDIDO,,#N/A
CL,8436609600396,471-7,Zero Protein Isolate 910 Gr Chocolate Blanco,Bigman,Proteína,"31,79",1,"31,79",30/06/2026,jun-2026,60,VIGENTE,,#N/A
LR,8436594157042,2457-5,Whey Protein 100% 2 Kg Leche Merengada,Vitobest,Proteína,"39,03",1,"39,03",30/06/2026,jun-2026,60,VIGENTE,,"1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, Concentrada, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
LR,8437015531892,2009,Jengibre Molido Bio 60 Gr,BioArtesa,Salud y Bienestar,"2,50",1,"2,50",30/06/2026,jun-2026,60,VENDIDO,,"10IVA, Alimentos orgánicos, Antioxidantes, Fit Food, Jengibre, Otros alimentos BIO, Polvo, Salud, Salud y Bienestar, Sistema Inmune"
3C,8436594157042,2457-5,Whey Protein 100% 2 Kg Leche Merengada,Vitobest,Proteína,"39,03",1,"39,03",30/06/2026,jun-2026,60,VIGENTE,,"1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, Concentrada, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436594157042,2457-5,Whey Protein 100% 2 Kg Leche Merengada,Vitobest,Proteína,"39,03",1,"39,03",30/06/2026,jun-2026,60,VIGENTE,,"1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, Concentrada, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,8422584091953,2604,Tortitas Protein de Lentejas Sin Gluten Bio 125 Gr,El Granero,Comida Fitness,"1,75",3,"5,25",30/06/2026,jun-2026,60,VENDIDO,,"10IVA, Alimentos orgánicos, Barritas y Snacks, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Masticable, Sin gluten"
AL,8594046796819,1896,Burn & Dry 90 Caps,Amix Nutrition,Control y Pérdida de peso,"14,26",3,"42,78",30/06/2026,jun-2026,60,VENDIDO,,"10IVA, AMIX, Cafeína, Cola de caballo, Control de peso, Cápsulas, Diente de león, Diuréticos, Extracto de pomelo, Guaraná, Inhibidores del apetito, Naranja amarga, Naranja sanguínea, Perder peso, Pimienta negra, Pomelo, Termogénicos, Té verde, Urtica dioica"
AL,8436568400358,2008,Jengibre Molido Bio 1 Kg,BioArtesa,Salud y Bienestar,"10,44",1,"10,44",30/06/2026,jun-2026,60,VENDIDO,,"10IVA, Alimentos orgánicos, Antioxidantes, Fit Food, Jengibre, Otros alimentos BIO, Polvo, Salud, Salud y Bienestar, Sistema Inmune"
CL,8594046796819,1896,Burn & Dry 90 Caps,Amix Nutrition,Control y Pérdida de peso,"14,26",3,"42,78",30/06/2026,jun-2026,60,VENDIDO,1,"10IVA, AMIX, Cafeína, Cola de caballo, Control de peso, Cápsulas, Diente de león, Diuréticos, Extracto de pomelo, Guaraná, Inhibidores del apetito, Naranja amarga, Naranja sanguínea, Perder peso, Pimienta negra, Pomelo, Termogénicos, Té verde, Urtica dioica"
LR,8425252200114,2501-2,Crema De Arroz 1 Kg Black Max,Max Protein,Avena / Arroz,"8,03",4,"32,12",01/07/2026,jul-2026,61,VENDIDO,,"0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
AL,5999100032880,462-1,Vitamin E 100 Caps,Scitec Nutrition,Vitaminas & Minerales,"7,17",3,"21,51",01/07/2026,jul-2026,61,VIGENTE,,"10IVA, Salud, Salud y Bienestar, Sistema Inmune, Vitamina E, Vitaminas"
AL,8435699401814,1050-1,Protein Pancake 1 Kg Chocolate - Galleta,Quamtrax,Comida Fitness,"11,28",1,"11,28",01/07/2026,jul-2026,61,VIGENTE,,"0 kg - 1 kg, 10IVA, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Keto, Novedades"
CL,8435699401814,1050-1,Protein Pancake 1 Kg Chocolate - Galleta,Quamtrax,Comida Fitness,"11,28",1,"11,28",31/01/2025,ene-2025,-455,VENDIDO,PEQUEÑA ROTURA  1/7/26 Cad,"0 kg - 1 kg, 10IVA, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Keto, Novedades"
AL,8435699401920,1050-4,Protein Pancake 1 Kg Galleta,Quamtrax,Comida Fitness,"11,28",1,"11,28",01/07/2026,jul-2026,61,VIGENTE,,"0 kg - 1 kg, 10IVA, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Keto, Novedades"
CL,8435699401920,1050-4,Protein Pancake 1 Kg Galleta,Quamtrax,Comida Fitness,"11,28",1,"11,28",01/07/2026,jul-2026,61,VENDIDO,,"0 kg - 1 kg, 10IVA, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Keto, Novedades"
AL,8437015531540,2631,Harina De Avena 100% Bio 1 Kg,BioArtesa,Avena / Arroz,"2,89",2,"5,78",02/07/2026,jul-2026,62,VIGENTE,,"0 kg - 1 kg, 0-20gr, 04IVA, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin lactosa"
CL,8437015531540,2631,Harina De Avena 100% Bio 1 Kg,BioArtesa,Avena / Arroz,"2,89",3,"8,67",02/07/2026,jul-2026,62,VENDIDO,,"0 kg - 1 kg, 0-20gr, 04IVA, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin lactosa"
AL,8435699401969,#N/A,#N/A,#N/A,#N/A,#N/A,4,#N/A,02/07/2026,jul-2026,62,#N/A,,#N/A
CL,5999076221561,542-9,Zero Bar 50 gr 1 Ud Chocolate - Plátano,Biotech USA,Barritas & Snacks,"1,17",5,"5,85",01/07/2026,jul-2026,61,VIGENTE,,"+relevantes, +vendidos, 10-14gr, 10IVA, 35-49gr, 36-50gr, 9-15gr, Barritas y Snacks, Comida Saludable, DECATHLON.EXCLUIDO, Fit Food, Keto, Masticable, Sin gluten, Sin lactosa"
CL,8435654802809,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,02/07/2026,jul-2026,62,#N/A,Antiox Drink Amix,#N/A
AL,8435654802809,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,02/07/2026,jul-2026,62,#N/A,Antiox Drink 250 Ml Amix wild fruits,#N/A
3C,8437015531540,2631,Harina De Avena 100% Bio 1 Kg,BioArtesa,Avena / Arroz,"2,89",1,"2,89",02/07/2026,jul-2026,62,VIGENTE,,"0 kg - 1 kg, 0-20gr, 04IVA, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin lactosa"
3C,,#N/A,Producto no encontrado - Rellenar en observaciones,,,#N/A,12,#N/A,02/07/2026,jul-2026,62,VIGENTE,Antiox Drink Amix lata 250ml,#N/A
CL,8435654802816,#N/A,#N/A,#N/A,#N/A,#N/A,48,#N/A,03/07/2026,jul-2026,63,EN RIESGO,BCAA Drink Amix,#N/A
AL,8435654802816,,,,,,24,,03/07/2026,jul-2026,63,VIGENTE,Bcaa Drink 250 Ml Amix Tropical Flavour,
3C,,#N/A,Producto no encontrado - Rellenar en observaciones,,,#N/A,48,#N/A,03/07/2026,jul-2026,63,EN RIESGO,BCAA Drink Amix lata 250ml,#N/A
CL,8435654802779,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,05/07/2026,jul-2026,65,#N/A,Collagen Drink Amix,#N/A
AL,8435654802779,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,05/07/2026,jul-2026,65,#N/A,Collagen Drink 250 Ml Amix Te Lemon,#N/A
AL,8436568407531,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,05/07/2026,jul-2026,65,#N/A,Pan de Trigo Sarraceno 100% Sin Gluten Bio 445 Gr,#N/A
3C,8435654802779,#N/A,Producto no encontrado - Rellenar en observaciones,,,#N/A,12,#N/A,05/07/2026,jul-2026,65,VIGENTE,Collagen Drink Amix lata 250ml,#N/A
3C,5999100032217,1237-6,Hot Blood Hardcore 375 Gr Grosella Negra,Scitec Nutrition,Preentreno / Precursores,"13,44",1,"13,44",05/07/2026,jul-2026,65,VIGENTE,,"10IVA, Acetyl L-Carnitina, Arginina, Bcaa, Beta alanina, Calcio, Citrulina, Con estimulantes, Contiene Creatina, Energizantes, Guaraná, Lisina, Magnesio, Más Energía, Oferta, Ornitina, Pimienta negra, Polvo, Pre-Entrenos, Taurina, Tirosina, Té verde, Vitamina C, Vitamina E, Zinc"
AL,5999100025608,2027-2,Proteinissimo Bar 50 Gr Peanut Butter,Scitec Nutrition,Barritas & Snacks,"1,47",24,"35,28",07/07/2026,jul-2026,67,VIGENTE,,"10IVA, Barritas y Snacks, Comida Saludable, Fit Food, Keto, Masticable"
AL,8422584318043,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A,07/07/2026,jul-2026,67,#N/A,"Tortitas Extrafinas de Arroz Integral, Girasol y Mijo Sin Gluten Bio 60 Gr",#N/A
CL,5999076223701,1412-1,Protein Power 4 Kg Chocolate,Biotech USA,Proteína,"44,42",1,"44,42",07/07/2026,jul-2026,67,VENDIDO,,"0-3gr, 0-4gr, 10IVA, 2.51 kg - 4 kg, 85-89gr, Combinada, Contiene Creatina, Ganar músculo, Mixta (iso/concentrado), Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Secuencial, Secuencial/caseína, TRADEINN.AUMENTO.3.99"
AL,8422584091717,1891,Tortitas de Arroz Integral Pesto Sin Gluten 60 Gr,El Granero,Comida Fitness,"1,34",4,"5,37",08/07/2026,jul-2026,68,VIGENTE,,"10IVA, 65-80gr, Alimentos orgánicos, Arroz, Barritas y Snacks, Carbohidratos, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Masticable, Sin gluten"
AL,8023678730309,#N/A,#N/A,#N/A,#N/A,#N/A,4,#N/A,09/07/2026,jul-2026,69,#N/A,Bebida Vegetal de Almendra Barista Bio 1 L,#N/A
LR,8023678730309,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,09/07/2026,jul-2026,69,VENDIDO,Bebida Vegetal de Almendra Barista Bio 1 L,#N/A
CL,5999076222476,554-5,Iso Whey Zero 500 Gr Fresa,Biotech USA,Proteína,"14,87",2,"29,74",10/07/2026,jul-2026,70,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 80-84gr, Aislada, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten, Sin lactosa"
3C,5999076222476,554-5,Iso Whey Zero 500 Gr Fresa,Biotech USA,Proteína,"14,87",1,"14,87",10/07/2026,jul-2026,70,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 80-84gr, Aislada, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten, Sin lactosa"
CL,5999076239931,2341-3,Protein Cream 400 gr Chocolate blanco,Biotech USA,Comida Fitness,"6,08",2,"12,16",11/07/2026,jul-2026,71,VIGENTE,1,"10IVA, Comida Saludable, Cremas Frutos Secos, Desayunos Fit, Fit Food, Keto, Salsas cremas y siropes, Sin gluten"
CL,8594159533608,151-1,McPro 35 Gr 1 Ud Galleta,Amix Nutrition,Barritas & Snacks,"0,73",24,"17,52",11/07/2026,jul-2026,71,VIGENTE,,"10IVA, 21-34gr, 21-35gr, 35-49gr, 9-15gr, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Keto, Masticable, Más Energía"
3C,8594159533608,151-1,McPro 35 Gr 1 Ud Galleta,Amix Nutrition,Barritas & Snacks,"0,73",24,"17,52",11/07/2026,jul-2026,71,VIGENTE,,"10IVA, 21-34gr, 21-35gr, 35-49gr, 9-15gr, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Keto, Masticable, Más Energía"
LR,8437015531465,2012,Harina de Mijo Bio Sin Gluten 1 Kg,BioArtesa,Comida Fitness,"3,67",1,"3,67",11/07/2026,jul-2026,71,VIGENTE,,"0 kg - 1 kg, 10IVA, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin gluten, Sin lactosa"
3C,5999076222360,554-4,Iso Whey Zero 500 Gr Chocolate,Biotech USA,Proteína,"14,87",1,"14,87",12/07/2026,jul-2026,72,VIGENTE,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 80-84gr, Aislada, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten, Sin lactosa"
AL,5999076229444,1017-3,Bcaa + Glutamine Zero 480 Gr Naranja,Biotech USA,Aminoácidos,"15,80",1,"15,80",12/07/2026,jul-2026,72,VIGENTE,,"10IVA, Aminoácidos, Destacados, Endurance, Ganar músculo, Glutamina y Bcaa, Perder peso, Polvo, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
AL,8422584091427,2572,Muesli con Chocolate Sin Gluten Bio 375 Gr,El Granero,Comida Fitness,"2,95",12,"35,45",13/07/2026,jul-2026,73,VIGENTE,,"10IVA, Alimentos orgánicos, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Salud, Sin gluten"
AL,5056569900461,1353-7,C4 Ultimate 20 Serv. Lemon Twist,Cellucor,Preentreno / Precursores,"27,05",3,"81,15",13/07/2026,jul-2026,73,VIGENTE,,"10IVA, AMAZON.AUMENTO.4.99, AMERICANA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Contiene Creatina, DECATHLON.AUMENTO.4.99, Energizantes, Ginseng, Más Energía, Polvo, Pre-Entrenos, Rhodiola rosea, Taurina, Tirosina, Vitamina B, Vitamina B12, Vitamina B6, Vitamina C, Vitaminas B"
AL,5060751995418,2469-3,High Protein Shake 500 Ml Vainilla,Optimum Nutrition,Proteína,"2,39",2,"4,78",25/07/2026,jul-2026,85,VIGENTE,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
CL,5060751995418,2469-3,High Protein Shake 500 Ml Vainilla,Optimum Nutrition,Proteína,"2,39",6,"14,34",25/07/2026,jul-2026,85,VENDIDO,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
CL,8594060006352,1212-2,Dunky Zero 70 Gr Dark Donut - White Choco Cream,Amix Nutrition,Barritas & Snacks,"1,42",3,"4,26",14/07/2026,jul-2026,74,VIGENTE,,"+vendidos, 10IVA, AMIX, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, MRPOPPERS, PRODUCTO3C, SPRINTER.EXCLUIDO"
CL,8436568403670,919-1,Harina de Avena Bio sin Gluten 500 Gr,BioArtesa,Avena / Arroz,"2,26",1,"2,26",14/07/2026,jul-2026,74,VENDIDO,,"0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin gluten, Sin lactosa"
CL,8436568403670,919-1,Harina de Avena Bio sin Gluten 500 Gr,BioArtesa,Avena / Arroz,"2,26",1,"2,26",14/07/2026,jul-2026,74,VENDIDO,,"0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin gluten, Sin lactosa"
3C,8594060006352,1212-2,Dunky Zero 70 Gr Dark Donut - White Choco Cream,Amix Nutrition,Barritas & Snacks,"1,42",15,"21,32",14/07/2026,jul-2026,74,VIGENTE,,"+vendidos, 10IVA, AMIX, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, MRPOPPERS, PRODUCTO3C, SPRINTER.EXCLUIDO"
3C,8594060006697,1212-1,Dunky Zero 70 Gr Triple chocolate,Amix Nutrition,Barritas & Snacks,"1,42",15,"21,32",14/07/2026,jul-2026,74,VIGENTE,,"+vendidos, 10IVA, AMIX, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, MRPOPPERS, PRODUCTO3C, SPRINTER.EXCLUIDO"
AL,8436568403670,919-1,Harina de Avena Bio sin Gluten 500 Gr,BioArtesa,Avena / Arroz,"2,26",6,"13,54",14/07/2026,jul-2026,74,VIGENTE,,"0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin gluten, Sin lactosa"
AL,5056569900478,1353-5,C4 Ultimate 20 Serv. Chicle,Cellucor,Preentreno / Precursores,"27,05",3,"81,15",14/07/2026,jul-2026,74,VIGENTE,,"10IVA, AMAZON.AUMENTO.4.99, AMERICANA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Contiene Creatina, DECATHLON.AUMENTO.4.99, Energizantes, Ginseng, Más Energía, Polvo, Pre-Entrenos, Rhodiola rosea, Taurina, Tirosina, Vitamina B, Vitamina B12, Vitamina B6, Vitamina C, Vitaminas B"
AL,8436568400556,1696,Galletas de coco Bio sin huevo con sirope 150 Gr,BioArtesa,Comida Fitness,"2,76",1,"2,76",14/07/2026,jul-2026,74,VIGENTE,,"0-20gr, 10IVA, 50-64gr, 9-15gr, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, Masticable"
LR,8436568403670,919-1,Harina de Avena Bio sin Gluten 500 Gr,BioArtesa,Avena / Arroz,"2,26",1,"2,26",14/07/2026,jul-2026,74,VIGENTE,,"0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin gluten, Sin lactosa"
